domain,problem,agents,heuristic,recursionLevel,totalTime,CPUTimeAgents,CPUTime,initHeuristic,initHeuristicDist,searchTime,expandedStates,expandedStatesGlobal,expandedStatesLocal,searchMessages,heuristicRequestMessages,heuristicReplyMessages,totalMessages,totalBytes,globalSearchTime,localSearchTime,globalHeuristicTime,localHeuristicTime,otherHeuristicTime,searchTimes,globalSearchTimes,localSearchTimes,globalHeuristicTimes,localHeuristicTimes,otherHeuristicTimes,planLength,maxRecursionDepth,planValid,finished
Input/logistics00,Input/logistics00/probLOGISTICS-4-0.pddl,3,saFF-glcl,-1,131,{},0,{tru1=9 tru2=4 apn1=4},{tru1=25 tru2=19 apn1=19},0,322,28,295,96,91,92,279,9848,0,0,0,0,0,,,,,,,29,0,true,true
Input/logistics00,Input/logistics00/probLOGISTICS-4-0.pddl,3,saFF-glcl,-1,129,{},0,{tru1=9 tru2=4 apn1=4},{tru1=24 tru2=19 apn1=19},0,475,33,445,130,140,142,412,13984,0,0,0,0,0,,,,,,,28,0,true,true
